"","Treatment","Tube.","Locate","Date","TotLength.mm.","TotProjArea.mm2.","TotSurfArea.mm2.","TotAvgDiam.mm.10.","TotVolume.mm3.","TotNumberOfTips","Locate2"
"214","control",19,"17_20","2019.05.28",69.1192,32.8472,103.1925,18.9428,19.411,14,1
"215","control",19,"21_24","2019.05.28",11.9795,8.058,25.3148,6.7264,5.039,2,1
"216","control",19,"25_28","2019.05.28",51.2819,11.4694,36.0323,4.5815,2.153,11,2
"217","control",19,"29_32","2019.05.28",15.8038,3.7367,11.739,4.0268,0.715,5,2
"218","control",19,"33_36","2019.05.28",6.897,3.0564,9.602,4.4315,1.075,1,2
"219","control",19,"37_40","2019.05.28",0,0,0,0,0,0,2
"220","control",19,"41_44","2019.05.28",12.7803,4.355,13.6818,3.4076,1.182,2,2
"221","cut",20,"1_4","2019.05.28",47.6253,24.4702,76.8756,26.8291,23.877,9,1
"222","cut",20,"5_8","2019.05.28",28.3389,7.1963,22.608,7.2887,1.554,5,1
"223","cut",20,"9_12","2019.05.28",14.6087,12.7279,39.9859,8.7126,10.058,2,1
"224","cut",20,"13_16","2019.05.28",173.5631,80.2074,251.979,18.2107,46.427,67,1
"225","cut",20,"17_20","2019.05.28",0,0,0,0,0,0,1
"226","cut",20,"21_24","2019.05.28",0,0,0,0,0,0,1
"227","cut",20,"25_28","2019.05.28",81.0548,17.362,54.5442,6.5184,3.841,24,2
"228","cut",20,"29_32","2019.05.28",0.2162,0.0527,0.1657,2.4392,0.01,1,2
"229","cut",20,"33_36","2019.05.28",0,0,0,0,0,0,2
"230","cut",20,"37_40","2019.05.28",17.3859,11.4908,36.0995,10.2447,6.599,2,2
"231","cut",20,"41_44","2019.05.28",33.0512,8.0688,25.3488,2.4413,1.799,14,2
"232","cut+manure",21,"1_4","2019.05.28",0,0,0,0,0,0,1
"233","cut+manure",21,"5_8","2019.05.28",15.3758,5.4555,17.1388,10.535,1.87,5,1
"234","cut+manure",21,"9_12","2019.05.28",29.3897,8.5494,26.8586,5.8493,2.113,5,1
"235","cut+manure",21,"13_16","2019.05.28",101.6349,28.9725,91.0199,13.7235,7.95,17,1
"236","cut+manure",21,"17_20","2019.05.28",99.7091,23.7629,74.6534,4.4309,6.658,26,1
"237","cut+manure",21,"21_24","2019.05.28",17.3246,1.352,4.2473,1.3551,0.104,5,1
"238","cut+manure",21,"25_28","2019.05.28",4.826,0.3267,1.0262,1.0841,0.02,3,2
"239","cut+manure",21,"29_32","2019.05.28",0,0,0,0,0,0,2
"240","cut+manure",21,"33_36","2019.05.28",32.4444,13.3144,41.8283,11.216,4.523,8,2
"241","cut+manure",21,"37_40","2019.05.28",1.932,1.2855,4.0385,6.6536,0.693,1,2
"242","cut+manure",21,"41_44","2019.05.28",7.5972,2.187,6.8707,2.8787,0.562,2,2
"243","cut+manure",14,"1_4","2019.05.28",55.9209,28.2498,88.7494,21.3079,15.342,12,1
"244","cut+manure",14,"5_8","2019.05.28",6.5284,1.4009,4.4008,4.2979,0.237,2,1
"245","cut+manure",14,"9_12","2019.05.28",61.3212,25.2591,79.3536,12.079,10.085,12,1
"246","cut+manure",14,"13_16","2019.05.28",18.4118,10.5881,33.2635,9.8806,5.071,2,1
"247","cut+manure",14,"17_20","2019.05.28",13.8459,5.6716,17.8178,4.0962,1.849,1,1
"248","cut+manure",14,"21_24","2019.05.28",44.1502,9.9125,31.1411,4.4892,1.811,12,1
"249","cut+manure",14,"25_28","2019.05.28",39.1717,11.0638,34.758,9.923,2.851,8,2
"250","cut+manure",14,"29_32","2019.05.28",20.909,6.6268,20.8188,5.9621,1.713,3,2
"251","cut+manure",14,"33_36","2019.05.28",0,0,0,0,0,0,2
"252","cut+manure",14,"37_40","2019.05.28",114.8567,33.9487,106.6528,13.5845,8.534,48,2
"253","cut+manure",14,"41_44","2019.05.28",58.5401,17.2648,54.239,11.879,4.196,14,2
"254","control",15,"1_4","2019.05.28",134.6303,178.2374,559.9494,37.538,304.652,28,1
"255","control",15,"5_8","2019.05.28",12.0259,2.5648,8.0577,4.1088,0.458,3,1
"256","control",15,"9_12","2019.05.28",21.0349,8.0456,25.2761,7.5975,2.643,2,1
"257","control",15,"13_16","2019.05.28",47.636,21.4007,67.2324,15.9479,10.147,8,1
"258","control",15,"17_20","2019.05.28",31.5356,25.1764,79.0939,15.9956,16.004,2,1
"259","control",15,"21_24","2019.05.28",0,0,0,0,0,0,1
"260","control",15,"25_28","2019.05.28",0,0,0,0,0,0,2
"261","control",15,"29_32","2019.05.28",4.0807,0.9331,2.9314,2.2866,0.171,1,2
"262","control",15,"33_36","2019.05.28",7.4907,1.5329,4.8156,4.1743,0.252,2,2
"263","control",15,"37_40","2019.05.28",0,0,0,0,0,0,2
"264","control",15,"41_44","2019.05.28",43.99,19.0987,60.0004,12.6333,6.935,9,2
"265","cut",22,"1_4","2019.05.31",53.7355,23.6169,74.1947,16.9292,10.88,13,1
"266","cut",22,"5_8","2019.05.31",25.5222,5.2992,16.6479,4.1497,0.872,9,1
"267","cut",22,"9_12","2019.05.31",32.7303,17.7299,55.7002,10.8944,12.956,9,1
"268","cut",22,"13_16","2019.05.31",10.8189,6.9115,21.713,11.0055,5.373,3,1
"269","cut",22,"17_20","2019.05.31",0,0,0,0,0,0,1
"270","cut",22,"21_24","2019.05.31",15.5368,7.6436,24.0133,14.7837,3.144,3,1
"271","cut",22,"25_28","2019.05.31",51.144,18.0837,56.8114,11.3495,5.496,15,2
"272","cut",22,"29_32","2019.05.31",18.9757,5.0196,15.7695,6.1584,1.109,8,2
"273","cut",22,"33_36","2019.05.31",0,0,0,0,0,0,2
"274","cut",22,"37_40","2019.05.31",12.4171,3.3505,10.5257,2.6983,0.71,1,2
"275","cut",22,"41_44","2019.05.31",0,0,0,0,0,0,2
"276","control",23,"1_4","2019.05.31",50.3803,10.2461,32.1889,4.1825,1.937,13,1
"277","control",23,"5_8","2019.05.31",44.2073,8.7925,27.6223,4.1114,1.497,8,1
"278","control",23,"9_12","2019.05.31",0,0,0,0,0,0,1
"279","control",23,"13_16","2019.05.31",0,0,0,0,0,0,1
"280","control",23,"17_20","2019.05.31",0,0,0,0,0,0,1
"281","control",23,"21_24","2019.05.31",0,0,0,0,0,0,1
"282","control",23,"25_28","2019.05.31",0,0,0,0,0,0,2
"283","control",23,"29_32","2019.05.31",0,0,0,0,0,0,2
"284","control",23,"33_36","2019.05.31",10.0298,4.4337,13.929,8.7931,1.555,2,2
"285","control",23,"37_40","2019.05.31",0,0,0,0,0,0,2
"286","control",23,"41_44","2019.05.31",5.0925,1.8576,5.8357,3.6477,0.543,2,2
"287","cut+manure",24,"1_4","2019.05.31",65.4983,44.5137,139.8441,26.2843,31.894,14,1
"288","cut+manure",24,"5_8","2019.05.31",58.6844,19.4536,61.1152,13.8542,5.494,11,1
"289","cut+manure",24,"9_12","2019.05.31",26.6645,17.8994,56.2326,13.3912,10.016,8,1
"290","cut+manure",24,"13_16","2019.05.31",2.1944,0.5353,1.6816,2.4392,0.103,1,1
"291","cut+manure",24,"17_20","2019.05.31",0,0,0,0,0,0,1
"292","cut+manure",24,"21_24","2019.05.31",1.7491,1.5766,4.953,9.0138,1.12,1,1
"293","cut+manure",24,"25_28","2019.05.31",0.3685,0.3096,0.9725,8.4016,0.204,1,2
"294","cut+manure",24,"29_32","2019.05.31",1.3763,0.373,1.1718,2.7102,0.079,1,2
"295","cut+manure",24,"33_36","2019.05.31",29.8226,16.4718,51.7476,15.3155,7.696,8,2
"296","cut+manure",24,"37_40","2019.05.31",0,0,0,0,0,0,2
"297","cut+manure",24,"41_44","2019.05.31",101.8493,28.5479,89.6857,10.9209,7.661,35,2
